"","kingdom","phylum","class","order","family","genus","species"
"1be3040a07470cf9fed81a07fcedddb1","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon","uncultured Chloroflexi bacterium"
"4241fcba34b107cf0abc7ac965ddcdc8","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium",NA
"8e54b151aeffd322b283a9d22af6a37d","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Prosthecobacter",NA
"a3bbbfb3d508779f0eefe022f360439b","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Pantoea",NA
"82be92ac7a97d1070a58ef86f107429d","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia","Serratia plymuthica"
"5a22e6576bc48afe7035dd974a5dcfea","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"2192f3a38cf5316b5fc4bbee9697fd76","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","Ambiguous_taxa"
"a2a73fcb434364c1a2107460960f2716","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","Ambiguous_taxa"
"acd55c514a37accdeb5b3632381874a1","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"5c5ebd31461d505a63323df364b97522","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Litorilinea","uncultured bacterium"
"b44c5c81801b42dc8b0f4dea166e401f","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","Ambiguous_taxa"
"c6770e67773f8b8079c2679f4da03917","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","uncultured bacterium","unclassified"
"0091d8012a900806b1abf1ea55b10ada","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium",NA
"27167829ca8b62f4a9586c013496dac3","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured Chloroflexi bacterium","unclassified"
"7b0ec35e7add4f9818897a646d93dc9d","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Herpetosiphonaceae","Herpetosiphon","uncultured Chloroflexi bacterium"
"5f558443fadba8afa2dc7c1d9cb18ad7","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","uncultured bacterium","unclassified"
"989e8829a1b6f5f2a0712455fc53800b","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","Acidobacterium sp. Ac_12_G8"
"b269aa2b03d486fb0d06606d3fee8c5b","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","uncultured bacterium","unclassified"
"d7be340b65340eadbdc87afc193f3660","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","uncultured","uncultured bacterium"
"1812c0bfcf87fcfcb0b0c2a7a478e371","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","Ambiguous_taxa"
"34b602cf78a8829d5fe15bf835848fb1","Bacteria","Acidobacteria","Blastocatellia (Subgroup 4)","Pyrinomonadales","Pyrinomonadaceae","RB41","uncultured bacterium"
"2030d31e64c5098af0eda3bd7f703ae7","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Verrucomicrobium",NA
"f38b52bb58230fc5de03ab02e0b6bd58","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","uncultured","uncultured bacterium"
"fa479e1e8d76ccfafce1e9c8b17399a1","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Paenarthrobacter",NA
"27d41ee52f3af74c72a8b438c7ac1035","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","metagenome"
"10819d4184b7fe808f57b65a0e9174d1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas",NA
"8dc67164a97d83f0dc39137491fce93c","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium",NA
"cdd4cb77fb3999992efb3fefbe107350","Bacteria","Chloroflexi","Gitt-GS-136","uncultured bacterium","unclassified","unclassified","unclassified"
"6c2590cbc50995cfecc3fe26e4ea25d0","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Roseimicrobium","Ambiguous_taxa"
"3423ed47f5def3d0e97698238c816b20","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter","uncultured bacterium"
"f23802332f73635325e8de1d836500dc","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","uncultured bacterium","unclassified"
"5d1a355fcda603fa9096c1a8f7309f52","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","uncultured bacterium","unclassified"
